	kommunenr	kommune	lat	lon	lat_lon
298	1554	Averøy	63.05344	7.63265	63.05344,7.63265
299	1557	Gjemnes	62.89379	7.67714	62.89379,7.67714
300	1560	Tingvoll	62.91194	8.20673	62.91194,8.20673
301	1563	Sunndal	62.674640000000004	8.56188	62.67464,8.56188
302	1566	Surnadal	62.97533000000001	8.7249	62.97533,8.7249
303	1567	Rindal	63.05511	9.21274	63.05511,9.21274
304	1571	Halsa	63.11855	8.31536	63.11855,8.31536
305	1573	Smøla	63.46526	8.018139999999999	63.46526,8.01814
306	1576	Aure	63.2675	8.527778	63.2675,8.527778
308	1601	Trondheim	63.42811	10.39687	63.42811,10.39687
309	1612	Hemne	63.29095	9.08893	63.29095,9.08893
310	1613	Snillfjord	63.399730000000005	9.50194	63.39973,9.50194
311	1617	Hitra	63.545280000000005	8.780289999999999	63.54528,8.78029
312	1620	Frøya	63.73005	8.82426	63.73005,8.82426
313	1621	Ørland	63.68574	9.66633	63.68574,9.66633
314	1622	Agdenes	63.50575	9.82623	63.50575,9.82623
315	1624	Rissa	63.58314	9.95934	63.58314,9.95934
316	1627	Bjugn	63.76521999999999	9.8094	63.76522,9.8094
317	1630	Åfjord	63.96196	10.22587	63.96196,10.22587
318	1632	Roan	64.17281	10.22511	64.17281,10.22511
319	1633	Osen	64.29875	10.512839999999999	64.29875,10.51284
320	1634	Oppdal	62.59495	9.687610000000001	62.59495,9.68761
321	1635	Rennebu	62.82864	10.00487	62.82864,10.00487
322	1636	Meldal	63.04598000000001	9.71088	63.04598,9.71088
323	1638	Orkdal	63.299890000000005	9.84365	63.29989,9.84365
324	1640	Røros	62.575619999999994	11.3873	62.57562,11.3873
325	1644	Holtålen	62.843180000000004	11.29284	62.84318,11.29284
326	1648	Midtre Gauldal	63.039019999999994	10.28701	63.03902,10.28701
327	1653	Melhus	63.28755	10.276860000000001	63.28755,10.27686
328	1657	Skaun	63.323859999999996	10.06745	63.32386,10.06745
329	1662	Klæbu	63.3006	10.48188	63.3006,10.48188
330	1663	Malvik	63.41056999999999	10.79382	63.41057,10.79382
331	1664	Selbu	63.2177	11.03938	63.2177,11.03938
332	1665	Tydal	63.04476999999999	11.65038	63.04477,11.65038
334	1702	Steinkjer	64.01487	11.49537	64.01487,11.49537
335	1703	Namsos	64.46624	11.49572	64.46624,11.49572
336	1711	Meråker	63.41423	11.74558	63.41423,11.74558
337	1714	Stjørdal	63.468030000000006	10.917760000000001	63.46803,10.91776
338	1717	Frosta	63.5877	10.74135	63.5877,10.74135
